gene	annotation	no_sequences	aln_len	pos_count	pos_per_codon	mean_n_dev_pos	stdev_n_dev_pos	max_n_dev
AAJHJC_05895	peptidase	124	583	4	0.007	1.859	2.764	5.994
ODMHAO_11055	lipopolysaccharide assembly protein LapB	125	403	1	0.002	5.994		5.994
MKPBBA_10900	hypothetical protein	89	51	3	0.059	2.22	3.268	5.994
DDFKJF_01370	DMP12 family DNA mimic protein	125	119	2	0.017	3.164	4.003	5.994
GBEPFH_04250	Tyr recombinase domain-containing protein	125	357	7	0.02	1.237	2.112	5.994
BFPELO_03005	carbon starvation protein A	124	694	2	0.003	3.164	4.003	5.994
KIIHOL_02480	Putative phage associated protein	125	136	5	0.037	2.442	2.467	5.994
IECMBI_00640	pretoxin	38	246	24	0.098	2.086	1.622	5.994
AAPKIE_03665	Manganese transport system membrane protein MntB	125	292	2	0.007	3.164	4.003	5.994
DBIOJN_04865	DUF1049 domain-containing protein	125	105	2	0.019	4.662	1.884	5.994
OIJOPB_10570	DNA-binding response regulator	125	237	7	0.03	1.126	2.147	5.994
DFBINA_04075	30S ribosomal protein S6	125	123	2	0.016	5.994	0.0	5.994
AFIEGL_10465	Xaa-Pro aminopeptidase	124	599	8	0.013	1.873	2.342	5.883
HPHECO_00630	type I-C CRISPR-associated protein Cas8c/Csd1	125	289	3	0.01	2.109	3.27	5.883
PNIJEF_06370	pyrroline-5-carboxylate reductase	125	264	2	0.008	3.941	2.747	5.883
HEPKNL_00990	iron ABC transporter substrate-binding protein	125	324	2	0.006	3.052	3.846	5.772
DPOILH_02410	polynucleotide adenylyltransferase PcnB	125	453	4	0.009	2.026	2.532	5.772
HMKGBL_03330	Macrolide export ATP-binding/permease proteinMacB	125	645	3	0.005	2.22	3.084	5.772
KOBKIE_05225	PilC family type IV pilus tip adhesin	27	1078	290	0.269	1.282	1.119	5.661
AENKPA_09440	Putative AcnD-accessory protein PrpF	125	176	6	0.034	2.109	1.892	5.661
NKPBLJ_07725	TonB-dep-Rec domain-containing protein	125	313	4	0.013	2.248	2.527	5.661
EFGCPC_09960	Histidinol dehydrogenase	125	430	3	0.007	1.998	3.173	5.661
PNIJEF_08230	phosphate acetyltransferase	125	513	13	0.025	1.084	1.893	5.661
OJCHKC_04805	Fe-S protein assembly chaperone HscA	125	673	3	0.004	3.811	1.602	5.661
IECMBI_01805	peroxide stress protein YaaA	125	260	6	0.023	1.572	2.155	5.661
AMHIEJ_01485	SNARE associated Golgi protein	125	228	2	0.009	2.997	3.767	5.661
HJAEIG_08505	competence/damage-inducible protein A	125	267	2	0.007	3.33	3.297	5.661
HEPKNL_06450	DNA polymerase III	109	233	3	0.013	2.109	3.076	5.661
CEEHEF_10920	tyrosine--tRNA ligase	125	432	2	0.005	5.494	0.235	5.661
AFIEGL_06595	5-formyltetrahydrofolate cyclo-ligase	125	194	4	0.021	2.081	2.414	5.661
GMLLLN_11165	hypothetical protein	114	39	2	0.051	3.496	3.061	5.661
NNPMCJ_10320	glutamine ABC transporter ATP-binding protein	125	244	2	0.008	2.886	3.924	5.661
IECMBI_01820	integrase	37	401	4	0.01	3.191	1.889	5.661
IJDKON_08720	Large ribosomal RNA subunit accumulation proteinYceD	125	167	2	0.012	2.886	3.924	5.661
JCPBFJ_04870	septum formation inhibitor Maf	114	262	24	0.092	0.985	1.376	5.661
LKENIL_03705	VanZ family protein	125	121	2	0.017	2.997	3.767	5.661
PMGANF_06735	deacetylase	125	373	6	0.016	1.628	2.066	5.661
HEPKNL_02860	UMP kinase	125	240	1	0.004	5.661		5.661
ODMHAO_00015	Glyco-trans-2-like domain-containing protein	86	253	3	0.012	3.922	1.67	5.661
BNBOEA_04120	periplasmic binding protein MntC	125	305	4	0.013	1.665	2.664	5.661
EFGCPC_08610	AraC family transcriptional regulator	125	256	1	0.004	5.661		5.661
FDOLEH_05580	5-demethoxyubiquinol-8 5-hydroxylase UbiM	125	462	3	0.006	3.404	2.756	5.661
IPDDEA_10835	aldehyde dehydrogenase	125	413	2	0.005	3.274	3.375	5.661
EHLPDB_03375	glycosyl transferase family A	64	236	18	0.076	0.863	1.364	5.661
GONEAM_01155	type I DNA topoisomerase	95	769	9	0.012	1.418	1.705	5.661
DFBINA_09765	ATP-dependent DNA helicase RecG	125	681	4	0.006	3.052	3.017	5.661
LGFMJF_08520	YigZ family protein	125	204	2	0.01	2.941	3.846	5.661
AMHIEJ_09755	preprotein translocase subunit SecA	125	917	3	0.003	2.664	2.601	5.661
DDFKJF_05925	type I restriction endonuclease subunit R	63	387	4	0.01	1.665	2.664	5.661
GILMCH_04755	heme ABC transporter substrate-binding proteinFbpA	125	332	2	0.006	2.997	3.767	5.661
LKENIL_07420	glutamate--tRNA ligase	125	465	5	0.011	2.287	2.277	5.661
GBEPFH_02270	hypothetical protein	23	153	50	0.327	1.682	1.352	5.66
NNPMCJ_06260	heme biosynthesis protein HemY	125	406	15	0.037	1.324	1.78	5.55
NKPBLJ_10055	2-dehydro-3-deoxyphosphogluconate aldolase	125	213	3	0.014	3.441	1.964	5.55
BGAEOD_05020	Single-stranded DNA-binding protein	123	175	4	0.023	1.803	2.503	5.55
DBIOJN_00825	Putative lipoprotein NMB1126/NMB1164	125	224	2	0.009	3.663	2.669	5.55
IPDDEA_05440	TonB-dependent receptor	125	128	2	0.016	4.551	1.413	5.55
ACIHAE_07935	hypothetical protein	114	110	1	0.009	5.55		5.55
DFBINA_01185	DoxX family protein	125	133	3	0.023	4.255	2.243	5.55
DKMLDN_07360	dTDP-4-dehydrorhamnose reductase	125	288	1	0.003	5.439		5.439
OFCCKL_09940	iron uptake transporterdeferrochelatase/peroxidase subunit	111	422	7	0.017	1.903	1.835	5.439
CLFGNL_10835	FmdE domain-containing protein	125	209	2	0.01	2.886	3.61	5.439
DBIOJN_07590	phosphoribosyltransferase	125	176	2	0.011	2.72	3.689	5.328
PNIJEF_09740	hypothetical protein	123	258	5	0.019	1.665	2.162	5.328
OEJBCO_07080	hypothetical protein	124	130	9	0.069	2.59	1.78	5.328
KGFFKI_02695	ATP-dependent chaperone ClpB	125	860	8	0.009	1.013	1.789	5.328
LOGDOA_04170	ABC-F family ATPase	124	543	2	0.004	2.775	3.61	5.328
HEEDGJ_10955	DUF4198 domain-containing protein	125	269	4	0.015	3.219	2.302	5.328
HCCGLM_09155	16S rRNA (cytosine(967)-C(5))-methyltransferaseRsmB	125	420	7	0.017	2.363	1.787	5.328
GPNLAD_07945	Phage associated protein	125	95	1	0.011	5.328		5.328
PNIJEF_04825	ribosomal protein S18-alanineN-acetyltransferase	125	147	3	0.02	3.293	2.623	5.328
GILMCH_03900	citrate transporter	125	438	14	0.032	1.792	1.549	5.328
MCBNGC_05705	ADP-heptose synthase	125	321	1	0.003	5.328		5.328
GBEPFH_03265	prolyl aminopeptidase	123	311	2	0.006	2.886	3.454	5.328
GHKIBE_03340	PilC family type IV pilus tip adhesin	19	797	160	0.201	1.319	1.156	5.328
LKENIL_05555	hypothetical protein	125	72	3	0.042	3.441	2.455	5.328
KMNMBO_03015	F0F1 ATP synthase subunit beta	125	473	21	0.044	2.066	1.181	5.328
FOAFML_09290	nitric oxide reductase large subunit	115	752	8	0.011	0.999	1.756	5.328
CEEHEF_02405	dihydrolipoyllysine-residue acetyltransferase	125	521	3	0.006	3.256	2.604	5.328
LKENIL_01060	3-isopropylmalate dehydratase large subunit	125	470	3	0.006	2.775	2.499	5.328
MCMGGC_06000	16S rRNA(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseRsmA	125	260	7	0.027	1.966	1.8	5.328
DPNOOC_01435	Translocation and assembly module subunit TamA	125	636	5	0.008	1.952	2.048	5.321
DPNOOC_05655	polyamine aminopropyltransferase	124	264	1	0.004	5.217		5.217
CPFJAA_03440	Putative virulence associated protein	124	649	37	0.057	1.35	1.203	5.217
IECMBI_02795	NAD(+) synthase	125	264	1	0.004	5.217		5.217
APANNK_09785	molecular chaperone DnaK	125	643	8	0.012	0.86	1.769	5.216
KIIHOL_08795	glycine--tRNA ligase subunit alpha	125	299	5	0.017	1.843	2.15	5.106
AFIEGL_04030	amino acid ABC transporter substrate-bindingprotein	125	275	3	0.011	2.479	2.423	5.106
BKGJEI_01705	type IV secretion system protein TraC	43	860	4	0.005	1.581	2.31	4.995
EGAONJ_01685	protein translocase subunit SecD	125	618	2	0.003	2.664	3.297	4.995
IEGIFK_10895	Putative integral membrane protein	125	232	7	0.03	1.966	1.764	4.995
ACIHAE_00345	imidazoleglycerol-phosphate dehydratase HisB	125	304	2	0.007	2.608	3.375	4.995
LGFMJF_03945	ribose-5-phosphate isomerase RpiA	125	224	3	0.013	3.404	2.756	4.995
APANNK_04190	FAD-dependent oxidoreductase	125	467	3	0.006	1.887	2.692	4.995
HEEDGJ_04660	ribonuclease E	123	920	5	0.005	1.376	2.046	4.995
ELOKED_03935	Putative phage replication initiation protein	40	40	7	0.175	1.57	1.677	4.995
AFIEGL_07805	beta-ketoacyl-ACP synthase II	125	416	1	0.002	4.995		4.995
DFBINA_08630	D-alanine--D-alanine ligase	125	305	2	0.007	3.163	2.59	4.995
DFBINA_03075	pseudouridylate synthase	125	253	2	0.008	2.997	2.826	4.995
FLPKAP_09990	ABC transporter	124	641	1	0.002	4.995		4.995
FPFEIB_09980	ABC transporter	102	696	3	0.004	2.22	2.409	4.995
CEEHEF_11090	ribosome biogenesis GTP-binding proteinYihA/YsxC	125	210	1	0.005	4.995		4.995
CPFJAA_09015	glutamine--fructose-6-phosphate transaminase(isomerizing)	125	613	3	0.005	2.442	2.363	4.995
DEODPA_00750	Acetate kinase 2	125	400	7	0.018	1.522	1.758	4.995
OIJOPB_02225	16S rRNA (guanine(966)-N(2))-methyltransferaseRsmD	125	190	2	0.011	3.33	2.355	4.995
LGFMJF_07325	lactoylglutathione lyase	125	139	5	0.036	1.243	2.101	4.995
HEEDGJ_00915	TAT-dependent nitrous-oxide reductase	124	534	7	0.013	1.269	1.657	4.995
LGFMJF_05975	ATP-binding protein	125	81	1	0.012	4.995		4.995
DDFKJF_01025	cytochrome c1	125	263	3	0.011	3.404	2.756	4.995
AENKPA_10270	D-aminoacyl-tRNA deacylase	125	164	1	0.006	4.995		4.995
DCGKFM_04775	Membrane protein	125	185	2	0.011	2.664	3.297	4.995
JPGGPH_09285	PGA-cap domain-containing protein	125	280	2	0.007	2.664	3.297	4.995
AFIEGL_07295	50S ribosomal protein L10	125	167	3	0.018	1.887	2.692	4.995
GHKIBE_00060	replication initiation factor family protein	125	443	5	0.011	2.065	1.941	4.995
GONEAM_06700	RidA family protein	125	121	1	0.008	4.995		4.995
NNPMCJ_08275	AraC family transcriptional regulator	124	319	4	0.013	2.248	2.464	4.995
FLPKAP_04410	Surface lipoprotein assembly modifier	125	310	9	0.029	1.418	1.866	4.884
CPFJAA_03055	succinate-semialdehyde dehydrogenase (NADP(+))	122	478	4	0.008	1.748	2.138	4.884
ACIHAE_06250	2-hydroxyacid dehydrogenase	122	346	1	0.003	4.773		4.773
ACIHAE_06780	hypothetical protein	67	378	4	0.011	2.414	1.571	4.662
IPDDEA_05115	oxidoreductase	125	476	5	0.011	1.931	2.201	4.662
JEAGGN_09170	(galactosaminyl)2-N,N'-diacetylbacillosaminyl-alpha1-diphospho-di-trans,octa-cis-undecaprenol synthase PglE	42	377	12	0.032	1.184	1.354	4.662
GHKIBE_10070	ribonuclease E inhibitor RraB	123	108	1	0.009	4.662		4.662
AAJHJC_01735	DUF541 domain-containing protein	125	235	2	0.009	2.497	3.061	4.662
LOGDOA_06010	LD-carboxypeptidase	125	397	8	0.02	0.819	1.556	4.662
FPKBML_05850	P(-)rp(+) fimbrial protein	29	145	17	0.117	0.757	1.145	4.662
ACIHAE_09725	DUF2163 domain-containing protein	123	285	1	0.004	4.662		4.662
EFGCPC_09265	phosphatase	125	220	4	0.018	1.415	2.164	4.662
FLPKAP_04225	Putative inner membrane protein	124	184	5	0.027	4.351	0.695	4.662
OPCPNN_09810	dTDP-4-dehydrorhamnose 3,5-epimerase	125	186	1	0.005	4.662		4.662
DPOILH_02250	ATP-dependent zinc metalloprotease FtsH	124	657	8	0.012	1.762	1.842	4.662
JDLPOL_02320	elongation factor Tu	36	404	15	0.037	1.605	1.782	4.662
ACIHAE_06775	hypothetical protein	67	46	5	0.109	2.02	1.532	4.661
AMHIEJ_04525	Adhesin	125	126	5	0.04	1.066	1.951	4.551
LOGDOA_03365	integration host factor subunit beta	125	105	1	0.01	4.551		4.551
IJDKON_11180	LPS-assembly protein LptD	125	803	37	0.046	0.858	0.919	4.551
APANNK_07425	metalloprotease TldD	125	481	5	0.01	1.221	1.869	4.551
GILMCH_06745	Alcohol dehydrogenase	125	243	1	0.004	4.44		4.44
OIJOPB_03235	F0F1 ATP synthase subunit delta	125	178	1	0.006	4.44		4.44
DNHNFJ_06730	4Fe-4S ferredoxin-type domain-containing protein	125	406	21	0.052	1.057	1.3	4.329
GILMCH_07070	DUF1853 domain-containing protein	125	283	1	0.004	4.329		4.329
DCGKFM_08115	Glyoxalase	125	95	1	0.011	4.329		4.329
LBAEBK_04815	Integral membrane transport protein	125	99	1	0.01	4.329		4.329
HEEDGJ_10455	tRNA adenosine(34) deaminase TadA	125	240	2	0.008	2.331	2.826	4.329
JEAGGN_03090	3-oxoacyl-ACP synthase	28	126	2	0.016	2.664	2.355	4.329
KMNMBO_11095	chromophore lyase	76	233	7	0.03	2.632	1.232	4.329
FOGPJI_07040	Serum response factor-binding protein 1	113	129	1	0.008	4.329		4.329
DPOILH_01750	UPF0114 protein NGO_01540	125	161	6	0.037	1.424	1.753	4.329
GILMCH_10400	UDP-2,3-diacylglucosamine diphosphatase	125	241	2	0.008	2.331	2.826	4.329
IEGIFK_08230	pilin	125	150	1	0.007	4.329		4.329
FDOLEH_01495	UTP--glucose-1-phosphate uridylyltransferaseGalU	125	290	3	0.01	1.887	2.141	4.329
EFGCPC_04960	conjugal transfer protein TraR	125	70	1	0.014	4.329		4.329
CEEHEF_02565	23S rRNA (adenine(2503)-C(2))-methyltransferaseRlmN	125	365	2	0.005	2.331	2.826	4.329
ELOKED_01080	beta-phosphoglucomutase	125	217	1	0.005	4.329		4.329
GHKIBE_06495	hypothetical protein	57	64	1	0.016	4.329		4.329
BCKFAO_00950	Porin	124	83	2	0.024	3.108	1.727	4.329
HMKGBL_04515	KilA-N domain-containing protein	35	296	10	0.034	1.454	1.42	4.329
AENKPA_11465	peptide chain release factor 2	125	368	1	0.003	4.329		4.329
GBEPFH_00750	quinolinate synthase NadA	125	371	5	0.013	1.776	1.534	4.329
GEEBOD_06960	outer membrane beta-barrel protein NspA	125	180	3	0.017	2.146	2.024	4.329
ACIHAE_05600	aromatic amino acid aminotransferase	125	397	2	0.005	2.331	2.826	4.329
DCGKFM_07940	Glycosyl transferases group 1	73	391	19	0.049	1.501	1.487	4.328
LGFMJF_10705	Putative secretion protein	84	312	5	0.016	1.421	1.69	4.218
EFGCPC_03735	NADP-specific glutamate dehydrogenase	125	445	4	0.009	3.552	0.845	4.218
GILMCH_10735	prephenate dehydrogenase/arogenate dehydrogenasefamily protein	125	291	3	0.01	2.59	1.41	4.218
AAJHJC_01070	cytochrome c2	124	156	16	0.103	1.748	1.124	4.218
FDOLEH_10075	Acetylglutamate kinase	125	299	2	0.007	2.997	1.727	4.218
KBCHFE_01935	hypothetical protein	125	71	3	0.042	1.554	2.217	4.107
AKGBFI_00710	putative protein family (UPF0093)	124	143	1	0.007	4.107		4.107
DCGKFM_07090	putrescine/spermidine ABC transporter permease	125	322	1	0.003	3.996		3.996
PMGANF_06895	RdgB/HAM1 family non-canonical purine NTPpyrophosphatase	124	201	2	0.01	2.053	2.747	3.996
JMMAGG_05225	outer membrane beta-barrel protein	12	274	58	0.212	1.081	0.84	3.996
OPCPNN_05940	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritolkinase	125	282	2	0.007	2.497	2.119	3.996
OFCCKL_06045	methylisocitrate lyase	101	292	2	0.007	2.164	2.59	3.996
JMBIMI_06355	pilin	21	146	45	0.308	1.12	0.909	3.996
FPFEIB_10845	pilin	26	158	6	0.038	1.147	1.594	3.996
CPFJAA_04045	ADP-ribose pyrophosphatase	125	179	1	0.006	3.996		3.996
DKMLDN_07680	ATP phosphoribosyltransferase regulatory subunit	125	384	4	0.01	2.497	1.752	3.996
EFGCPC_02415	monofunctional biosynthetic peptidoglycantransglycosylase	125	234	2	0.009	2.664	1.884	3.996
EFGCPC_00170	succinyldiaminopimelate transaminase	125	396	12	0.03	1.369	1.29	3.996
EGAONJ_05180	pilin	11	180	49	0.272	0.951	0.9	3.996
HJAEIG_08850	Nif3-like dinuclear metal center hexamericprotein	125	251	4	0.016	1.304	1.809	3.996
KBCHFE_07420	ornithine carbamoyltransferase	124	332	2	0.006	3.608	0.549	3.996
EFGCPC_07200	TonB-dependent receptor	74	1145	22	0.019	0.832	0.869	3.996
HEEDGJ_07830	metalloprotease PmbA	124	444	3	0.007	1.48	2.182	3.996
KHMBHM_07845	Carbonic anhydrase	125	200	2	0.01	2.165	2.59	3.996
NNPMCJ_03940	ATPase	124	590	3	0.005	1.554	2.115	3.996
HEEDGJ_01075	ABC transporter substrate-binding protein	119	343	43	0.125	1.536	1.227	3.996
AAPKIE_00645	pilin	19	119	24	0.202	1.026	1.002	3.995
PNIJEF_02295	pretoxin	123	210	29	0.138	0.968	1.033	3.995
DFBINA_09245	Putative phage replication initiation protein	19	444	18	0.041	1.005	0.969	3.994
EBIOOC_08300	Putative phage associated protein	111	2471	92	0.037	0.734	0.741	3.885
GILMCH_04230	DUF2069 domain-containing protein	125	118	1	0.008	3.885		3.885
OFCCKL_09260	Phosphoglycerate kinase	123	398	5	0.013	1.487	1.625	3.885
PNIJEF_07905	histidinol-phosphate transaminase	125	360	2	0.006	1.942	2.59	3.774
FDJAIE_09270	30S ribosomal protein S18	125	77	2	0.026	2.386	1.962	3.774
GILMCH_00875	DUF533 domain-containing protein	96	205	11	0.054	1.211	1.144	3.774
AFIEGL_01255	class 1 fructose-bisphosphatase	125	388	6	0.015	2.017	1.384	3.774
HPHECO_10860	peptidylprolyl isomerase	124	513	3	0.006	1.591	1.849	3.663
EFGCPC_11145	polar amino acid ABC transporter ATP-bindingprotein	125	252	1	0.004	3.663		3.663
AAJHJC_04520	diadenosine tetraphosphatase	125	207	2	0.01	1.887	2.512	3.663
ACIHAE_10560	DNA polymerase III subunit delta'	125	326	4	0.012	1.832	1.752	3.663
ACIHAE_08430	hypothetical protein	125	103	1	0.01	3.663		3.663
NADGGK_00005	Protein Smg-like protein	96	154	2	0.013	1.887	2.512	3.663
DFBINA_07590	asparaginase	125	331	13	0.039	0.598	0.944	3.663
DCBGBN_08585	Integral membrane protein	116	93	1	0.011	3.663		3.663
HMKGBL_07790	3-methyl-2-oxobutanoate hydroxymethyltransferase	125	265	2	0.008	2.164	2.119	3.663
GBEPFH_01910	DUF2199 domain-containing protein	125	172	2	0.012	2.664	1.413	3.663
DKMLDN_10140	DUF4124 domain-containing protein	125	102	2	0.02	2.22	2.041	3.663
PNIJEF_06185	PAS domain-containing sensor histidine kinase	122	707	9	0.013	1.529	1.462	3.663
DFBINA_08240	lysine--tRNA ligase	124	504	2	0.004	3.274	0.549	3.663
CPFJAA_04205	RNA methyltransferase	125	262	4	0.015	1.332	1.562	3.663
KGAFGA_04775	hypothetical protein	28	103	2	0.019	2.331	1.884	3.663
GONEAM_08160	Peptidase-M14 domain-containing protein	125	377	4	0.011	1.138	1.704	3.663
AHNHIN_04820	anhydro-N-acetylmuramic acid kinase	124	367	15	0.041	0.548	0.889	3.663
HPHECO_05055	UDP-3-O-(3-hydroxymyristoyl)glucosamineN-acyltransferase	125	348	1	0.003	3.663		3.663
MPNNBP_07595	NADH:ubiquinone reductase (Na(+)-transporting)subunit F	125	406	2	0.005	2.276	1.962	3.663
AENKPA_00255	DNA-processing protein DprA	124	397	12	0.03	0.962	1.084	3.663
KGFFKI_10535	cell division protein ZapA	125	102	1	0.01	3.663		3.663
KBCHFE_08780	ABC transporter	125	276	2	0.007	1.998	2.355	3.663
AAJHJC_00905	lactoferrin/transferrin-binding protein LbpA	124	1006	28	0.028	0.694	0.739	3.663
DCGKFM_10645	NADH-quinone oxidoreductase subunit NuoE	125	158	2	0.013	2.164	2.119	3.663
LMPAAK_01355	tryptophan synthase subunit beta	125	402	20	0.05	0.538	0.759	3.662
PMGANF_05700	NADH-quinone oxidoreductase subunit NuoI	125	160	1	0.006	3.662		3.662
CEEHEF_08365	Pilin	15	127	41	0.323	1.006	0.838	3.661
FPFEIB_05840	adenine phosphoribosyltransferase	124	198	10	0.051	1.077	0.996	3.552
HEPKNL_02695	Threonylcarbamoyl-AMP synthase	125	201	1	0.005	3.552		3.552
NKPBLJ_06575	cell division protein FtsZ	125	395	10	0.025	0.888	0.955	3.552
DEODPA_06555	Transposase	68	228	16	0.07	0.701	0.972	3.552
EHJIKO_05295	peptidylprolyl isomerase	125	333	1	0.003	3.441		3.441
MPNNBP_08255	disulfide bond formation protein DsbA	125	215	2	0.009	1.887	2.198	3.441
AFIEGL_08615	acetyl-CoA carboxylase biotin carboxylasesubunit	125	454	2	0.004	1.776	2.355	3.441
DBIOJN_03670	DNA repair protein RecO	125	248	2	0.008	1.887	2.198	3.441
KBCHFE_00785	oxygen-independent coproporphyrinogen IIIoxidase	125	474	5	0.011	1.443	1.774	3.441
GILMCH_08375	elongation factor P	125	187	1	0.005	3.441		3.441
AOEIMC_02935	putative hydroxymethylpyrimidine transporterCytX	125	409	7	0.017	1.491	1.343	3.33
LGFMJF_00830	polyribonucleotide nucleotidyltransferase	125	707	2	0.003	1.72	2.276	3.33
KIIHOL_01135	cell division protein FtsN	125	288	3	0.01	1.295	1.763	3.33
HJJNII_05390	hypothetical protein	125	116	1	0.009	3.33		3.33
AFIEGL_08790	RNA-binding protein	67	78	2	0.026	1.776	2.198	3.33
NKPBLJ_01340	polymorphic toxin MafB class 2	50	631	18	0.029	1.61	0.908	3.33
AMHIEJ_00775	XRE family transcriptional regulator	121	151	1	0.007	3.33		3.33
IECMBI_08470	lipid A export permease/ATP-binding protein MsbA	125	623	7	0.011	1.411	1.395	3.33
DFBINA_08265	Opacity protein opA54	23	286	33	0.115	0.552	0.576	3.33
LOGDOA_08530	peptidase M23	125	431	3	0.007	1.554	1.574	3.33
PNIJEF_04495	ribosome small subunit-dependent GTPase A	125	308	6	0.019	0.795	1.245	3.33
IJDKON_00890	transcriptional regulator FolI	125	147	1	0.007	3.33		3.33
KMNMBO_09445	ABC-type transport auxiliary lipoproteincomponent	125	173	1	0.006	3.33		3.33
DKMLDN_11470	N-acetyllactosaminidealpha-2,3-sialyltransferase	124	379	9	0.024	0.641	1.022	3.33
LOGDOA_08720	N-acetylmuramate/N-acetylglucosamine kinase	125	335	12	0.036	0.786	0.822	3.33
IPPGFL_00805	pyrimidine 5'-nucleotidase	120	92	2	0.022	2.498	1.177	3.33
OIJOPB_09445	3-phosphoshikimate 1-carboxyvinyltransferase	125	434	8	0.018	1.457	0.928	3.33
OPCPNN_01270	23S rRNA methyltransferase	117	46	1	0.022	3.33		3.33
HMKGBL_06630	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	125	759	8	0.011	0.874	1.096	3.33
GILMCH_02405	30S ribosomal protein S5	125	173	1	0.006	3.33		3.33
PNIJEF_05665	ferredoxin	125	280	2	0.007	1.721	2.119	3.219
NNPMCJ_06100	NAD(P)-dependent oxidoreductase	125	259	6	0.023	1.239	1.102	3.219
GHKIBE_10565	C4-dicarboxylate ABC transporter	125	489	4	0.008	1.804	1.333	3.219
EGAONJ_00030	Phage associated protein	123	102	3	0.029	1.184	1.666	3.108
FOAFML_11310	Cryptic plasmid protein B	27	214	2	0.009	1.887	1.727	3.108
CMOMEB_05930	hypothetical protein	17	250	12	0.048	0.721	0.78	3.108
DFBINA_00180	tRNA(N6-threonylcarbamoyladenosine(37)-N6)-methyltransferaseTrmO	125	227	1	0.004	2.997		2.997
DCGKFM_01130	tRNA(adenosine(37)-N6)-threonylcarbamoyltransferase complexATPase subunit type 1 TsaE	125	154	3	0.019	1.998	1.452	2.997
LCAGDG_05015	HTH-Tnp-IS630 domain-containing protein	42	203	24	0.118	0.832	0.831	2.997
APANNK_07595	L-pilin	38	114	6	0.053	0.888	1.121	2.997
CJNHGO_06950	Inorganic pyrophosphatase	125	178	1	0.006	2.997		2.997
PNIJEF_03570	Cro/Cl family transcriptional regulator	104	237	15	0.063	0.673	0.835	2.997
FOGPJI_03170	Pilin	11	236	36	0.153	0.61	0.752	2.997
NMJJFA_02995	aconitate hydratase B	124	862	8	0.009	1.11	0.868	2.997
FOAFML_01100	pilin	39	195	31	0.159	0.605	0.63	2.997
LBAEBK_00745	type IV pilus inner membrane platform proteinPilM	125	372	2	0.005	1.665	1.884	2.997
EFGCPC_10640	Outer membrane protein assembly factor BamD	125	257	3	0.012	1.147	1.606	2.997
CLFGNL_09500	Fatty acid repression mutant protein (putativeoxidoreductase)	125	66	2	0.03	2.886	0.157	2.997
DPNOOC_07465	conjugal transfer protein TraD	46	232	15	0.065	0.88	0.752	2.997
NADGGK_04065	hypothetical protein	27	87	10	0.115	1.542	0.832	2.997
ELOKED_02070	Protein TonB	122	285	12	0.042	0.795	0.751	2.996
CLFGNL_10350	energy-dependent translational throttle proteinEttA	125	559	8	0.014	1.471	1.278	2.886
GONEAM_02505	LysR family transcriptional regulator	125	304	2	0.007	1.443	1.884	2.775
HEEDGJ_03445	FAD-dependent oxidoreductase	125	367	9	0.025	0.666	0.808	2.775
ODMHAO_10705	Amidophosphoribosyltransferase	125	203	9	0.044	0.617	0.812	2.664
IEGIFK_05490	TlpA family protein disulfide reductase	125	163	1	0.006	2.664		2.664
LKENIL_04535	DUF4375 domain-containing protein	125	117	3	0.026	1.221	1.261	2.664
DFBINA_10910	DUF2247 domain-containing protein	60	158	3	0.019	1.369	1.277	2.664
GILMCH_07230	DNA-binding protein	125	78	1	0.013	2.664		2.664
LGFMJF_04955	sodium:alanine symporter family protein	124	473	5	0.011	0.777	1.079	2.664
OJCHKC_04265	Homoserine dehydrogenase	125	436	3	0.007	2.035	0.548	2.664
AKGBFI_10490	Re/Si-specific NAD(P)(+) transhydrogenase subunitalpha	122	515	13	0.025	0.581	0.671	2.664
NEILBB_03145	Dyp-type peroxidase	18	319	13	0.041	1.537	0.862	2.664
LGFMJF_04455	hypothetical protein	112	115	5	0.043	0.733	1.086	2.664
MCBNGC_10720	EamA-like transporter family	95	390	12	0.031	0.564	0.684	2.664
CLFGNL_07605	Putative lipoprotein	25	174	7	0.04	0.872	0.958	2.664
HEEDGJ_09310	SAM-dependent DNA methyltransferase	123	534	13	0.024	1.025	0.663	2.664
OJCHKC_06150	Putative phage associated protein	69	95	14	0.147	0.936	0.862	2.664
CEEHEF_00560	Imidazole glycerol phosphate synthase subunitHisF	125	256	2	0.008	1.498	1.648	2.664
AAJHJC_03865	Glutamate 5-kinase	80	370	2	0.005	1.554	1.57	2.664
CIKFOC_04635	Serine hydroxymethyltransferase	125	417	3	0.007	1.11	1.346	2.664
DPNOOC_02570	glycosyl transferase family 1	56	407	12	0.029	1.203	0.583	2.664
HJAEIG_06305	methionine adenosyltransferase	125	390	1	0.003	2.664		2.664
BFPELO_04500	cold-shock protein	47	196	16	0.082	0.902	0.768	2.664
HEEDGJ_00575	3-oxoacyl-ACP reductase FabG	80	222	4	0.018	1.249	0.994	2.664
HEPKNL_07930	conjugal transfer protein TraB	45	439	14	0.032	0.92	0.771	2.664
HBDHPE_00330	ribosome maturation factor RimM	125	170	2	0.012	1.832	1.177	2.664
DPNOOC_08000	hydroxysqualene dehydroxylase HpnE	125	466	27	0.058	0.707	0.546	2.664
